iter	AUC	Logloss
135	0.8246717308	0.5098340024
136	0.8249077828	0.5095571541
137	0.8253632419	0.509258904
138	0.8255909137	0.5090528332
139	0.8257995398	0.5088299442
140	0.8261544519	0.5084372295
141	0.8263075934	0.5081880679
142	0.8266519157	0.5077848722
143	0.8269313141	0.5074193159
144	0.8271273002	0.5071657972
145	0.8273296919	0.5069546073
146	0.8275621849	0.5067176741147	0.8278055701	0.50650366061148	0.8280549629	0.50620578014149	0.8281870641	0.5060240931150	0.8283622967	0.50583011681151	0.8285615075	0.50555533131152	0.8287771604	0.505315551
153	0.8292645001	0.5049928927
154	0.8294794085	0.5046846588
155	0.8296952245	0.50439057711156	0.8298145305	0.50417507241157	0.8300334956	0.50390034215158	0.830261259	0.50363554291159	0.8305413301	0.50332580361160	0.8308487755	0.50307028071161	0.8308971898	0.50292334116162	0.8309891295	0.50283051516163	0.8311984444	0.50255274616164	0.8314288592	0.50228553165165	0.8315434714	0.50214868166166	0.8317381159	0.50183826167167	0.8320450795	0.50149067168168	0.8320842457	0.501442169	0169	0.8322779745	0.501202170	0170	0.8325563418	0.501010171	1171	0.8327423592	0.50075517217172	0.8330509989	0.50045417317173	0.833138862	0.50029931741174	0.8332640361	0.50015641717175	0.8333988087	0.50001317617176	0.833930088	0.499622177	1177	0.834024512	0.499512178	0178	0.834487786	0.4990742179	179	0.8347400332	0.4987921180	180	0.8348533475	0.4986035181	181	0.8350541866	0.4983783182	182	0.8353382827	0.4981896183	183	0.8354970375	0.4979505184184	0.8356499401	0.49772956185185	0.8358311603	0.49751109186186	0.8359835731	0.49730781187187	0.836234634	0.49715871018188	0.8363670059	0.4969953231189	0.8364731622	0.49686472171190	0.8367233631	0.496601002
191	0.8368753978	0.4963651304
192	0.8370559014	0.4961533946
193	0.8372474964	0.4958929859
194	0.8374501747	0.4956020849
195	0.837654772	0.4953811857
196	0.8378243514	0.4951781494
197	0.8381210278	0.4949698448
198	0.8384987676	0.4946232775
